feedback,category
The app crashes when I open it and it happens every day.,Complaint
Face authentication is not working for improved experience.,Complaint
Customer support was helpful and it should be fixed as soon as possible.,Compliment
I noticed that everything works seamlessly during peak usage time.,Compliment
Need calendar integration and it should be fixed for all users.,Feature Request
Payment gateway failed again. And it happens every day.,Complaint
Please include voice search and it happens every day.,Feature Request
I noticed that add payment history section for better usability.,Feature Request
Face authentication is not working and it should be fixed for improved experience.,Complaint
Add WhatsApp login support and it should be fixed because it affects daily usage.,Feature Request
"Add fingerprint authentication, please resolve this in the next update.",Feature Request
"The features are very useful, please resolve this and it happens every day.",Compliment
I noticed that i really enjoy using this app and it happens every day.,Compliment
I noticed that please provide chat support especially on Android devices.,Feature Request
I noticed that need personalized recommendations and it happens every day.,Feature Request
I noticed that customer support never replies as soon as possible.,Complaint
Login page is not working properly. In the next update.,Complaint
"Need offline access support, please resolve this especially on Android devices.",Feature Request
Login page is not working properly. And it happens every day.,Complaint
Add export to PDF option. For improved experience.,Feature Request
Need personalized recommendations and it should be fixed for all users.,Feature Request
The app freezes frequently. In the next update.,Complaint
Add cloud backup feature for all users.,Feature Request
The app crashes when I open it. For improved experience.,Complaint
I noticed that the app logs me out automatically for improved experience.,Complaint
Add cloud backup feature. In the next update.,Feature Request
Navigation is very simple and it should be fixed especially on Android devices.,Compliment
OTP is not received on time and it should be fixed in the next update.,Complaint
The design looks professional for better usability.,Compliment
The latest update introduced bugs for improved experience.,Complaint
I noticed that add cloud backup feature for improved experience.,Feature Request
"The app crashes when I open it, please resolve this for improved experience.",Complaint
"Notifications are delayed, please resolve this for all users.",Complaint
Need offline access support and it should be fixed for improved experience.,Feature Request
Need calendar integration as soon as possible.,Feature Request
I noticed that the app logs me out automatically in the next update.,Complaint
The app freezes frequently and it should be fixed because it affects daily usage.,Complaint
Need offline access support for all users.,Feature Request
Please add dark mode as soon as possible.,Feature Request
The app crashes when I open it. For all users.,Complaint
The design looks professional. For all users.,Compliment
"The app works perfectly, please resolve this especially on Android devices.",Compliment
Everything works seamlessly for improved experience.,Compliment
"The app crashes when I open it, please resolve this and it happens every day.",Complaint
The application is amazing during peak usage time.,Compliment
"Customer support was helpful, please resolve this in the next update.",Compliment
Need custom notification settings and it should be fixed especially on Android devices.,Feature Request
I noticed that add fingerprint authentication for better usability.,Feature Request
Need offline access support. For all users.,Feature Request
Add WhatsApp login support. For better usability.,Feature Request
"I cannot upload my documents, please resolve this for all users.",Complaint
Video playback keeps buffering and it happens every day.,Complaint
"The application is amazing, please resolve this and it happens every day.",Compliment
Please include voice search as soon as possible.,Feature Request
The features are very useful for improved experience.,Compliment
I noticed that please add dark mode especially on Android devices.,Feature Request
I noticed that need multilingual support for all users.,Feature Request
Add export to PDF option for better usability.,Feature Request
Excellent performance overall. As soon as possible.,Compliment
OTP is not received on time. As soon as possible.,Complaint
Need personalized recommendations. For improved experience.,Feature Request
"Everything works seamlessly, please resolve this in the next update.",Compliment
I noticed that need offline access support for all users.,Feature Request
Add cloud backup feature in the next update.,Feature Request
I cannot upload my documents and it should be fixed for improved experience.,Complaint
"I really enjoy using this app, please resolve this during peak usage time.",Compliment
I cannot upload my documents. For all users.,Complaint
Need calendar integration and it should be fixed and it happens every day.,Feature Request
Customer support was helpful and it should be fixed for better usability.,Compliment
Need calendar integration for all users.,Feature Request
"OTP is not received on time, please resolve this as soon as possible.",Complaint
The app works perfectly. For improved experience.,Compliment
I noticed that please include voice search especially on Android devices.,Feature Request
Everything works seamlessly. And it happens every day.,Compliment
Add payment history section. As soon as possible.,Feature Request
I noticed that need personalized recommendations for all users.,Feature Request
Customer support never replies in the next update.,Complaint
Add cloud backup feature. For improved experience.,Feature Request
Add WhatsApp login support for all users.,Feature Request
I noticed that i really enjoy using this app for all users.,Compliment
I really enjoy using this app. For better usability.,Compliment
Need personalized recommendations for all users.,Feature Request
I noticed that otp is not received on time and it happens every day.,Complaint
Add payment history section. During peak usage time.,Feature Request
Add cloud backup feature for better usability.,Feature Request
I noticed that notifications are delayed in the next update.,Complaint
Add export to PDF option for better usability.,Feature Request
The app works perfectly. Especially on android devices.,Compliment
Very smooth experience and it should be fixed for all users.,Compliment
I noticed that the app crashes when i open it and it happens every day.,Complaint
I noticed that need custom notification settings because it affects daily usage.,Feature Request
I cannot upload my documents in the next update.,Complaint
I noticed that need offline access support as soon as possible.,Feature Request
"Please add AI chatbot assistance, please resolve this because it affects daily usage.",Feature Request
"The latest update introduced bugs, please resolve this during peak usage time.",Complaint
Need custom notification settings and it should be fixed because it affects daily usage.,Feature Request
Everything works seamlessly during peak usage time.,Compliment
"Add fingerprint authentication, please resolve this for improved experience.",Feature Request
Add payment history section and it should be fixed which is very frustrating.,Feature Request
I noticed that add export to pdf option as soon as possible.,Feature Request
"OTP is not received on time, please resolve this during peak usage time.",Complaint
Add cloud backup feature and it happens every day.,Feature Request
"Face authentication is not working, please resolve this for improved experience.",Complaint
"The latest update introduced bugs, please resolve this for all users.",Complaint
I noticed that i love the ui design which is very frustrating.,Compliment
Fast and responsive interface. Especially on android devices.,Compliment
"The latest update introduced bugs, please resolve this in the next update.",Complaint
"The latest update introduced bugs, please resolve this for better usability.",Complaint
I noticed that the app logs me out automatically because it affects daily usage.,Complaint
Add WhatsApp login support for all users.,Feature Request
The design looks professional and it happens every day.,Compliment
Need custom notification settings as soon as possible.,Feature Request
The app works perfectly and it should be fixed especially on Android devices.,Compliment
"Need custom notification settings, please resolve this because it affects daily usage.",Feature Request
Need custom notification settings in the next update.,Feature Request
The latest update introduced bugs. In the next update.,Complaint
I noticed that please add dark mode because it affects daily usage.,Feature Request
The app crashes when I open it for better usability.,Complaint
Add payment history section which is very frustrating.,Feature Request
The latest update introduced bugs as soon as possible.,Complaint
Profile update is failing as soon as possible.,Complaint
"Payment gateway failed again, please resolve this as soon as possible.",Complaint
I noticed that need multilingual support because it affects daily usage.,Feature Request
"I cannot upload my documents, please resolve this and it happens every day.",Complaint
Please provide chat support for better usability.,Feature Request
Everything works seamlessly and it should be fixed for better usability.,Compliment
Payment gateway failed again. In the next update.,Complaint
I noticed that otp is not received on time which is very frustrating.,Complaint
I noticed that need custom notification settings during peak usage time.,Feature Request
Add WhatsApp login support and it should be fixed and it happens every day.,Feature Request
I noticed that please add dark mode as soon as possible.,Feature Request
Please add file sharing feature and it should be fixed as soon as possible.,Feature Request
I noticed that need custom notification settings during peak usage time.,Feature Request
Please add AI chatbot assistance and it should be fixed for improved experience.,Feature Request
I noticed that great improvement after the update for improved experience.,Compliment
Add fingerprint authentication. In the next update.,Feature Request
Add export to PDF option. For improved experience.,Feature Request
I noticed that profile update is failing which is very frustrating.,Complaint
I noticed that add payment history section especially on Android devices.,Feature Request
"Navigation is very simple, please resolve this because it affects daily usage.",Compliment
Everything works seamlessly. And it happens every day.,Compliment
I noticed that the app freezes frequently because it affects daily usage.,Complaint
"The app crashes when I open it, please resolve this for improved experience.",Complaint
"OTP is not received on time, please resolve this because it affects daily usage.",Complaint
I noticed that face authentication is not working as soon as possible.,Complaint
Add WhatsApp login support and it should be fixed during peak usage time.,Feature Request
I noticed that customer support never replies for improved experience.,Complaint
I really enjoy using this app. For improved experience.,Compliment
Need custom notification settings. During peak usage time.,Feature Request
Please add dark mode in the next update.,Feature Request
"Everything works seamlessly, please resolve this in the next update.",Compliment
The app logs me out automatically because it affects daily usage.,Complaint
I noticed that the app works perfectly during peak usage time.,Compliment
The app freezes frequently for better usability.,Complaint
Profile update is failing. Especially on android devices.,Complaint
Customer support never replies especially on Android devices.,Complaint
Need personalized recommendations and it should be fixed for improved experience.,Feature Request
Please add dark mode. Which is very frustrating.,Feature Request
The application is amazing as soon as possible.,Compliment
This app saves a lot of time and it happens every day.,Compliment
Great improvement after the update for improved experience.,Compliment
Profile update is failing and it should be fixed which is very frustrating.,Complaint
Profile update is failing. For better usability.,Complaint
Profile update is failing and it should be fixed as soon as possible.,Complaint
Please add file sharing feature especially on Android devices.,Feature Request
Need personalized recommendations and it should be fixed because it affects daily usage.,Feature Request
"Navigation is very simple, please resolve this as soon as possible.",Compliment
Please add file sharing feature and it should be fixed which is very frustrating.,Feature Request
Fantastic user experience and it should be fixed because it affects daily usage.,Compliment
Add WhatsApp login support and it should be fixed for all users.,Feature Request
The application is amazing and it should be fixed for better usability.,Compliment
Add WhatsApp login support. For all users.,Feature Request
Face authentication is not working especially on Android devices.,Complaint
Customer support was helpful and it should be fixed in the next update.,Compliment
Fantastic user experience for improved experience.,Compliment
"Please provide chat support, please resolve this for all users.",Feature Request
"Add WhatsApp login support, please resolve this as soon as possible.",Feature Request
The latest update introduced bugs and it should be fixed because it affects daily usage.,Complaint
I noticed that great improvement after the update because it affects daily usage.,Compliment
The design looks professional. For better usability.,Compliment
I noticed that otp is not received on time for all users.,Complaint
I noticed that add export to pdf option and it happens every day.,Feature Request
The app logs me out automatically and it should be fixed for improved experience.,Complaint
Need custom notification settings as soon as possible.,Feature Request
OTP is not received on time and it happens every day.,Complaint
The application is amazing. In the next update.,Compliment
Add WhatsApp login support and it should be fixed for better usability.,Feature Request
I noticed that search functionality is broken as soon as possible.,Complaint
Add cloud backup feature because it affects daily usage.,Feature Request
Profile update is failing and it should be fixed which is very frustrating.,Complaint
"Add payment history section, please resolve this for all users.",Feature Request
I noticed that add fingerprint authentication which is very frustrating.,Feature Request
"Fast and responsive interface, please resolve this for all users.",Compliment
The app works perfectly. And it happens every day.,Compliment
Notifications are delayed and it should be fixed for improved experience.,Complaint
I noticed that the app crashes when i open it for all users.,Complaint
I noticed that the latest update introduced bugs for better usability.,Complaint
Need calendar integration. Because it affects daily usage.,Feature Request
Very smooth experience for better usability.,Compliment
OTP is not received on time. For better usability.,Complaint
"Navigation is very simple, please resolve this during peak usage time.",Compliment
"Add payment history section, please resolve this during peak usage time.",Feature Request
"The design looks professional, please resolve this and it happens every day.",Compliment
Login page is not working properly during peak usage time.,Complaint
I noticed that fast and responsive interface for all users.,Compliment
Add cloud backup feature and it should be fixed because it affects daily usage.,Feature Request
Navigation is very simple. For improved experience.,Compliment
I noticed that need personalized recommendations for better usability.,Feature Request
"Login page is not working properly, please resolve this for better usability.",Complaint
Need offline access support in the next update.,Feature Request
Please add AI chatbot assistance and it should be fixed and it happens every day.,Feature Request
I noticed that profile update is failing for all users.,Complaint
The app freezes frequently. Which is very frustrating.,Complaint
Fast and responsive interface and it should be fixed especially on Android devices.,Compliment
Need personalized recommendations and it should be fixed for all users.,Feature Request
Please include voice search as soon as possible.,Feature Request
I noticed that otp is not received on time because it affects daily usage.,Complaint
Profile update is failing and it happens every day.,Complaint
The features are very useful. And it happens every day.,Compliment
"I love the UI design, please resolve this and it happens every day.",Compliment
"The design looks professional, please resolve this which is very frustrating.",Compliment
Add WhatsApp login support and it should be fixed for better usability.,Feature Request
I noticed that face authentication is not working and it happens every day.,Complaint
The latest update introduced bugs and it should be fixed during peak usage time.,Complaint
"Notifications are delayed, please resolve this for better usability.",Complaint
Add payment history section especially on Android devices.,Feature Request
"The features are very useful, please resolve this in the next update.",Compliment
The application is amazing. Especially on android devices.,Compliment
I cannot upload my documents especially on Android devices.,Complaint
Notifications are delayed because it affects daily usage.,Complaint
I noticed that need calendar integration for better usability.,Feature Request
Payment gateway failed again. For better usability.,Complaint
"Face authentication is not working, please resolve this in the next update.",Complaint
Excellent performance overall. And it happens every day.,Compliment
I noticed that everything works seamlessly which is very frustrating.,Compliment
The app logs me out automatically for all users.,Complaint
Customer support never replies. Especially on android devices.,Complaint
Search functionality is broken especially on Android devices.,Complaint
I noticed that this app saves a lot of time especially on Android devices.,Compliment
Fantastic user experience especially on Android devices.,Compliment
The app crashes when I open it. For all users.,Complaint
"The design looks professional, please resolve this for better usability.",Compliment
Add export to PDF option. Which is very frustrating.,Feature Request
I noticed that the application is amazing as soon as possible.,Compliment
"Great improvement after the update, please resolve this during peak usage time.",Compliment
Need custom notification settings. For improved experience.,Feature Request
The app logs me out automatically. For improved experience.,Complaint
"The app crashes when I open it, please resolve this because it affects daily usage.",Complaint
I noticed that add payment history section and it happens every day.,Feature Request
I noticed that the latest update introduced bugs especially on Android devices.,Complaint
The app works perfectly which is very frustrating.,Compliment
The app logs me out automatically and it happens every day.,Complaint
"This app saves a lot of time, please resolve this as soon as possible.",Compliment
The features are very useful. And it happens every day.,Compliment
"The latest update introduced bugs, please resolve this for better usability.",Complaint
I noticed that great improvement after the update for improved experience.,Compliment
Add cloud backup feature. As soon as possible.,Feature Request
Great improvement after the update. As soon as possible.,Compliment
OTP is not received on time especially on Android devices.,Complaint
Great improvement after the update. Especially on android devices.,Compliment
"The design looks professional, please resolve this for better usability.",Compliment
I noticed that the app logs me out automatically for improved experience.,Complaint
Navigation is very simple because it affects daily usage.,Compliment
I noticed that the app works perfectly which is very frustrating.,Compliment
This app saves a lot of time and it should be fixed because it affects daily usage.,Compliment
I noticed that fantastic user experience in the next update.,Compliment
Search functionality is broken. In the next update.,Complaint
Need multilingual support because it affects daily usage.,Feature Request
I noticed that navigation is very simple because it affects daily usage.,Compliment
The application is amazing. Especially on android devices.,Compliment
I noticed that customer support never replies for improved experience.,Complaint
I noticed that search functionality is broken during peak usage time.,Complaint
Search functionality is broken. In the next update.,Complaint
Please add dark mode for better usability.,Feature Request
I noticed that please provide chat support because it affects daily usage.,Feature Request
"Add fingerprint authentication, please resolve this for all users.",Feature Request
Please add dark mode. Especially on android devices.,Feature Request
I noticed that excellent performance overall for improved experience.,Compliment
"Great improvement after the update, please resolve this which is very frustrating.",Compliment
Add export to PDF option. For better usability.,Feature Request
Please provide chat support. As soon as possible.,Feature Request
Customer support never replies and it happens every day.,Complaint
The latest update introduced bugs for all users.,Complaint
Need offline access support because it affects daily usage.,Feature Request
Please add file sharing feature and it should be fixed which is very frustrating.,Feature Request
Very smooth experience and it should be fixed in the next update.,Compliment
I noticed that add payment history section especially on Android devices.,Feature Request
"Fast and responsive interface, please resolve this which is very frustrating.",Compliment
Please include voice search in the next update.,Feature Request
"Add export to PDF option, please resolve this and it happens every day.",Feature Request
Navigation is very simple. In the next update.,Compliment
Add cloud backup feature. For all users.,Feature Request
I noticed that profile update is failing during peak usage time.,Complaint
"The features are very useful, please resolve this because it affects daily usage.",Compliment
Fast and responsive interface. Because it affects daily usage.,Compliment
Payment gateway failed again and it should be fixed especially on Android devices.,Complaint
I noticed that fantastic user experience for improved experience.,Compliment
Excellent performance overall. For better usability.,Compliment
The app freezes frequently and it should be fixed for all users.,Complaint
Need custom notification settings. During peak usage time.,Feature Request
Search functionality is broken. Especially on android devices.,Complaint
Fantastic user experience for improved experience.,Compliment
Customer support never replies and it happens every day.,Complaint
"Login page is not working properly, please resolve this which is very frustrating.",Complaint
OTP is not received on time and it should be fixed for all users.,Complaint
Please add AI chatbot assistance and it should be fixed as soon as possible.,Feature Request
Need calendar integration. For all users.,Feature Request
I really enjoy using this app during peak usage time.,Compliment
Search functionality is broken and it should be fixed as soon as possible.,Complaint
Customer support never replies and it should be fixed for improved experience.,Complaint
Search functionality is broken and it should be fixed because it affects daily usage.,Complaint
I really enjoy using this app during peak usage time.,Compliment
Search functionality is broken especially on Android devices.,Complaint
"Face authentication is not working, please resolve this in the next update.",Complaint
"The app freezes frequently, please resolve this and it happens every day.",Complaint
Fast and responsive interface. During peak usage time.,Compliment
Need custom notification settings. For improved experience.,Feature Request
"Add cloud backup feature, please resolve this and it happens every day.",Feature Request
Please include voice search and it should be fixed for improved experience.,Feature Request
Need offline access support because it affects daily usage.,Feature Request
Great improvement after the update in the next update.,Compliment
Add WhatsApp login support. Which is very frustrating.,Feature Request
Very smooth experience because it affects daily usage.,Compliment
Customer support never replies in the next update.,Complaint
I noticed that the design looks professional for better usability.,Compliment
Please provide chat support and it should be fixed for improved experience.,Feature Request
The app crashes when I open it and it should be fixed because it affects daily usage.,Complaint
Notifications are delayed. For all users.,Complaint
Search functionality is broken. For improved experience.,Complaint
"Video playback keeps buffering, please resolve this especially on Android devices.",Complaint
The app freezes frequently and it should be fixed because it affects daily usage.,Complaint
The latest update introduced bugs. For all users.,Complaint
The app works perfectly. In the next update.,Compliment
I noticed that the design looks professional for all users.,Compliment
The app logs me out automatically and it should be fixed for improved experience.,Complaint
Great improvement after the update especially on Android devices.,Compliment
Great improvement after the update. For all users.,Compliment
Need calendar integration. Which is very frustrating.,Feature Request
"Excellent performance overall, please resolve this in the next update.",Compliment
I noticed that search functionality is broken for better usability.,Complaint
Need multilingual support. Which is very frustrating.,Feature Request
"Add export to PDF option, please resolve this because it affects daily usage.",Feature Request
Login page is not working properly and it should be fixed in the next update.,Complaint
Please add file sharing feature for improved experience.,Feature Request
"I love the UI design, please resolve this for all users.",Compliment
OTP is not received on time for improved experience.,Complaint
Profile update is failing. Which is very frustrating.,Complaint
Need personalized recommendations and it should be fixed and it happens every day.,Feature Request
The app freezes frequently and it should be fixed in the next update.,Complaint
I noticed that the application is amazing for all users.,Compliment
I noticed that add export to pdf option for better usability.,Feature Request
"Customer support never replies, please resolve this during peak usage time.",Complaint
I noticed that please add dark mode for better usability.,Feature Request
Need offline access support. In the next update.,Feature Request
Navigation is very simple and it should be fixed in the next update.,Compliment
I noticed that add export to pdf option for better usability.,Feature Request
Great improvement after the update. During peak usage time.,Compliment
The application is amazing during peak usage time.,Compliment
I noticed that please add dark mode for improved experience.,Feature Request
Fantastic user experience. Especially on android devices.,Compliment
"Add cloud backup feature, please resolve this for improved experience.",Feature Request
Please add dark mode during peak usage time.,Feature Request
Need custom notification settings. Especially on android devices.,Feature Request
I noticed that search functionality is broken which is very frustrating.,Complaint
The latest update introduced bugs for improved experience.,Complaint
"Everything works seamlessly, please resolve this and it happens every day.",Compliment
The app crashes when I open it as soon as possible.,Complaint
Add cloud backup feature and it should be fixed which is very frustrating.,Feature Request
Login page is not working properly especially on Android devices.,Complaint
Add WhatsApp login support. During peak usage time.,Feature Request
Please provide chat support for all users.,Feature Request
"Login page is not working properly, please resolve this which is very frustrating.",Complaint
I noticed that customer support never replies for improved experience.,Complaint
I noticed that the application is too slow especially on Android devices.,Complaint
"I really enjoy using this app, please resolve this and it happens every day.",Compliment
"Need personalized recommendations, please resolve this in the next update.",Feature Request
The features are very useful and it should be fixed which is very frustrating.,Compliment
"Profile update is failing, please resolve this especially on Android devices.",Complaint
Please add file sharing feature during peak usage time.,Feature Request
I really enjoy using this app and it should be fixed for all users.,Compliment
Fantastic user experience for better usability.,Compliment
The app crashes when I open it as soon as possible.,Complaint
Payment gateway failed again. For all users.,Complaint
Customer support never replies in the next update.,Complaint
The app freezes frequently and it should be fixed as soon as possible.,Complaint
The app freezes frequently and it should be fixed for all users.,Complaint
Customer support never replies and it should be fixed and it happens every day.,Complaint
Need calendar integration. And it happens every day.,Feature Request
I noticed that login page is not working properly which is very frustrating.,Complaint
I love the UI design. For better usability.,Compliment
"Please add dark mode, please resolve this as soon as possible.",Feature Request
I really enjoy using this app and it should be fixed for all users.,Compliment
Need personalized recommendations. For better usability.,Feature Request
Need offline access support. For all users.,Feature Request
I noticed that need offline access support especially on Android devices.,Feature Request
"Excellent performance overall, please resolve this for improved experience.",Compliment
"The app logs me out automatically, please resolve this for better usability.",Complaint
Add fingerprint authentication. Especially on android devices.,Feature Request
Fantastic user experience. And it happens every day.,Compliment
The app freezes frequently for all users.,Complaint
"Need multilingual support, please resolve this and it happens every day.",Feature Request
I noticed that the features are very useful especially on Android devices.,Compliment
Profile update is failing. Which is very frustrating.,Complaint
Add export to PDF option as soon as possible.,Feature Request
Add fingerprint authentication and it should be fixed especially on Android devices.,Feature Request
Please add file sharing feature for improved experience.,Feature Request
I noticed that add export to pdf option during peak usage time.,Feature Request
Please add AI chatbot assistance and it should be fixed because it affects daily usage.,Feature Request
Please add dark mode for better usability.,Feature Request
I noticed that add fingerprint authentication which is very frustrating.,Feature Request
Need multilingual support. During peak usage time.,Feature Request
Notifications are delayed. Especially on android devices.,Complaint
Add cloud backup feature for all users.,Feature Request
"OTP is not received on time, please resolve this especially on Android devices.",Complaint
Add export to PDF option. For improved experience.,Feature Request
I really enjoy using this app and it should be fixed which is very frustrating.,Compliment
Please add file sharing feature. For better usability.,Feature Request
Very smooth experience and it should be fixed as soon as possible.,Compliment
I noticed that the design looks professional which is very frustrating.,Compliment
"Payment gateway failed again, please resolve this as soon as possible.",Complaint
Please add file sharing feature because it affects daily usage.,Feature Request
"Please add AI chatbot assistance, please resolve this for better usability.",Feature Request
Profile update is failing as soon as possible.,Complaint
I noticed that customer support was helpful as soon as possible.,Compliment
"Need personalized recommendations, please resolve this especially on Android devices.",Feature Request
Search functionality is broken especially on Android devices.,Complaint
Very smooth experience. For better usability.,Compliment
"Excellent performance overall, please resolve this as soon as possible.",Compliment
Add payment history section and it happens every day.,Feature Request
"The features are very useful, please resolve this in the next update.",Compliment
Fantastic user experience. Especially on android devices.,Compliment
Customer support was helpful and it should be fixed as soon as possible.,Compliment
I noticed that the app crashes when i open it for all users.,Complaint
I love the UI design and it should be fixed for all users.,Compliment
Need personalized recommendations for improved experience.,Feature Request
Notifications are delayed. In the next update.,Complaint
Excellent performance overall as soon as possible.,Compliment
I noticed that the application is amazing which is very frustrating.,Compliment
Fast and responsive interface for better usability.,Compliment
The app crashes when I open it and it should be fixed as soon as possible.,Complaint
The features are very useful. Because it affects daily usage.,Compliment
Please include voice search and it should be fixed for all users.,Feature Request
"The app logs me out automatically, please resolve this especially on Android devices.",Complaint
I noticed that very smooth experience for better usability.,Compliment
I noticed that payment gateway failed again which is very frustrating.,Complaint
I noticed that everything works seamlessly because it affects daily usage.,Compliment
Add cloud backup feature. For all users.,Feature Request
I noticed that please provide chat support which is very frustrating.,Feature Request
The app crashes when I open it and it happens every day.,Complaint
I cannot upload my documents and it happens every day.,Complaint
Please add dark mode in the next update.,Feature Request
The features are very useful. And it happens every day.,Compliment
"Customer support was helpful, please resolve this for all users.",Compliment
Everything works seamlessly. During peak usage time.,Compliment
"The application is amazing, please resolve this and it happens every day.",Compliment
"Please add file sharing feature, please resolve this as soon as possible.",Feature Request
"Need custom notification settings, please resolve this especially on Android devices.",Feature Request
Need personalized recommendations and it should be fixed for all users.,Feature Request
I noticed that the app crashes when i open it which is very frustrating.,Complaint
I noticed that need offline access support and it happens every day.,Feature Request
Face authentication is not working. Which is very frustrating.,Complaint
Excellent performance overall. For better usability.,Compliment
"The application is too slow, please resolve this for better usability.",Complaint
Add export to PDF option. And it happens every day.,Feature Request
The application is too slow. Which is very frustrating.,Complaint
I noticed that please add dark mode as soon as possible.,Feature Request
Video playback keeps buffering. As soon as possible.,Complaint
"OTP is not received on time, please resolve this which is very frustrating.",Complaint
I noticed that please add file sharing feature for better usability.,Feature Request
Add export to PDF option. Especially on android devices.,Feature Request
Payment gateway failed again and it should be fixed for all users.,Complaint
Everything works seamlessly for all users.,Compliment
Please add AI chatbot assistance. Because it affects daily usage.,Feature Request
"Payment gateway failed again, please resolve this and it happens every day.",Complaint
Fantastic user experience and it should be fixed for better usability.,Compliment
Add WhatsApp login support. For all users.,Feature Request
"Very smooth experience, please resolve this especially on Android devices.",Compliment
Notifications are delayed especially on Android devices.,Complaint
Need personalized recommendations in the next update.,Feature Request
I noticed that search functionality is broken and it happens every day.,Complaint
I noticed that face authentication is not working which is very frustrating.,Complaint
"Fast and responsive interface, please resolve this for all users.",Compliment
The features are very useful and it should be fixed during peak usage time.,Compliment
Please add file sharing feature. In the next update.,Feature Request
I noticed that this app saves a lot of time and it happens every day.,Compliment
Fantastic user experience and it should be fixed in the next update.,Compliment
"The features are very useful, please resolve this because it affects daily usage.",Compliment
Fast and responsive interface. And it happens every day.,Compliment
I noticed that payment gateway failed again for better usability.,Complaint
OTP is not received on time and it should be fixed for improved experience.,Complaint
"The application is too slow, please resolve this because it affects daily usage.",Complaint
Need personalized recommendations and it should be fixed for all users.,Feature Request
Add fingerprint authentication and it happens every day.,Feature Request
Need personalized recommendations and it should be fixed which is very frustrating.,Feature Request
I really enjoy using this app and it should be fixed in the next update.,Compliment
Please add AI chatbot assistance and it should be fixed during peak usage time.,Feature Request
The app logs me out automatically. For improved experience.,Complaint
I noticed that the application is amazing because it affects daily usage.,Compliment
The app logs me out automatically as soon as possible.,Complaint
I really enjoy using this app. And it happens every day.,Compliment
I noticed that the application is too slow in the next update.,Complaint
"Fast and responsive interface, please resolve this in the next update.",Compliment
This app saves a lot of time and it should be fixed for improved experience.,Compliment
"Need calendar integration, please resolve this which is very frustrating.",Feature Request
I noticed that please add ai chatbot assistance for all users.,Feature Request
"Please add AI chatbot assistance, please resolve this for all users.",Feature Request
The application is too slow. In the next update.,Complaint
Add payment history section which is very frustrating.,Feature Request
Search functionality is broken and it should be fixed especially on Android devices.,Complaint
Customer support never replies and it happens every day.,Complaint
"The app crashes when I open it, please resolve this and it happens every day.",Complaint
"Great improvement after the update, please resolve this which is very frustrating.",Compliment
"Add cloud backup feature, please resolve this for improved experience.",Feature Request
I noticed that this app saves a lot of time for improved experience.,Compliment
The app logs me out automatically in the next update.,Complaint
"The app freezes frequently, please resolve this and it happens every day.",Complaint
I noticed that otp is not received on time because it affects daily usage.,Complaint
OTP is not received on time and it happens every day.,Complaint
I noticed that need custom notification settings because it affects daily usage.,Feature Request
"Need personalized recommendations, please resolve this which is very frustrating.",Feature Request
I noticed that add export to pdf option for all users.,Feature Request
I noticed that fantastic user experience and it happens every day.,Compliment
Customer support never replies. As soon as possible.,Complaint
Excellent performance overall for improved experience.,Compliment
The features are very useful. And it happens every day.,Compliment
The application is amazing during peak usage time.,Compliment
I cannot upload my documents and it should be fixed for better usability.,Complaint
I noticed that need multilingual support because it affects daily usage.,Feature Request
Add WhatsApp login support. For improved experience.,Feature Request
I noticed that add fingerprint authentication which is very frustrating.,Feature Request
Add payment history section and it happens every day.,Feature Request
I noticed that need offline access support especially on Android devices.,Feature Request
Please add AI chatbot assistance and it should be fixed in the next update.,Feature Request
Very smooth experience. For better usability.,Compliment
The app crashes when I open it. Especially on android devices.,Complaint
I noticed that fantastic user experience for better usability.,Compliment
Login page is not working properly as soon as possible.,Complaint
Video playback keeps buffering and it should be fixed as soon as possible.,Complaint
The application is amazing for improved experience.,Compliment
I noticed that everything works seamlessly in the next update.,Compliment
The app freezes frequently because it affects daily usage.,Complaint
Please add dark mode and it should be fixed especially on Android devices.,Feature Request
I noticed that need multilingual support for improved experience.,Feature Request
"Add cloud backup feature, please resolve this as soon as possible.",Feature Request
Fantastic user experience which is very frustrating.,Compliment
Need custom notification settings and it should be fixed for better usability.,Feature Request
The design looks professional especially on Android devices.,Compliment
Login page is not working properly and it should be fixed and it happens every day.,Complaint
Please include voice search. As soon as possible.,Feature Request
"The features are very useful, please resolve this as soon as possible.",Compliment
Video playback keeps buffering for improved experience.,Complaint
"Need multilingual support, please resolve this as soon as possible.",Feature Request
Great improvement after the update as soon as possible.,Compliment
The latest update introduced bugs for improved experience.,Complaint
The features are very useful and it should be fixed and it happens every day.,Compliment
Add WhatsApp login support and it happens every day.,Feature Request
The app crashes when I open it which is very frustrating.,Complaint
Please add dark mode which is very frustrating.,Feature Request
"Need custom notification settings, please resolve this as soon as possible.",Feature Request
"Excellent performance overall, please resolve this for better usability.",Compliment
Profile update is failing. For improved experience.,Complaint
Customer support was helpful during peak usage time.,Compliment
OTP is not received on time and it should be fixed because it affects daily usage.,Complaint
Add payment history section and it should be fixed especially on Android devices.,Feature Request
The app works perfectly. Because it affects daily usage.,Compliment
"Search functionality is broken, please resolve this especially on Android devices.",Complaint
I noticed that video playback keeps buffering as soon as possible.,Complaint
I really enjoy using this app. Because it affects daily usage.,Compliment
I noticed that search functionality is broken because it affects daily usage.,Complaint
The latest update introduced bugs during peak usage time.,Complaint
I noticed that login page is not working properly for better usability.,Complaint
